#{"t_start": 1776603862.111948, "env_id": "None"}
r,l,t
12.904564,150,235.592627
41.576568,136,236.54447
33.33755,150,237.59177
23.989873,150,238.635931
25.739229,150,239.687551
46.077474,135,240.636623
24.780366,135,241.580817
48.596599,116,242.392097
15.140862,150,243.444026
29.492625,150,244.496802
17.520011,150,245.543803
9.803758,150,246.593035
18.09119,150,247.641231
47.900135,119,248.47623
23.765936,150,249.52019
25.682605,150,250.569255
32.65967,137,251.527954
15.467277,150,252.575246
7.969174,150,253.616398
17.011487,150,254.660245
17.555741,150,255.705214
21.292632,150,256.752278
17.815641,150,257.796556
14.99023,150,258.847382
9.474584,150,259.89817
24.886169,150,260.943602
22.963383,150,261.988441
24.3574,150,263.038357
28.48861,150,264.084408
23.894838,150,265.132582
25.759204,150,266.178413
37.333481,61,266.604559
16.616176,150,267.652914
42.133428,88,268.270607
19.831207,150,269.31971
36.674887,58,269.72599
22.970395,150,270.776014
15.306212,150,271.831593
39.314826,57,272.22965
24.570792,150,273.277862
21.145371,150,274.322951
20.649274,150,275.373058
22.433463,150,276.416842
21.000176,150,277.46391
-26.028936,149,278.503039
13.982174,150,279.551469
25.990418,150,280.598487
17.840136,150,281.648203
11.197566,150,282.693222
18.589429,150,283.742536
20.096863,150,284.787355
25.007617,150,285.838308
29.606871,101,286.540269
10.060724,150,287.587526
44.054489,142,289.033302
30.438427,150,290.080744
22.606612,150,291.135921
24.0406,150,292.187426
31.75969,150,293.241356
27.664194,150,294.292571
26.181395,150,295.343553
25.590825,150,296.401087
27.774654,150,297.459085
24.346292,150,298.513582
25.500669,150,299.569778
25.642288,150,300.626892
25.26325,150,301.682124
26.738809,150,302.737024
26.737227,150,303.789003
27.743612,150,304.841191
38.233408,150,305.896446
47.419545,119,306.730034
40.37386,107,307.48287
37.075342,140,308.467289
33.265789,150,309.521128
38.222502,150,310.576165
34.963529,150,311.632102
41.754732,150,312.685647
30.217274,150,313.739617
28.93366,150,314.794086
35.250173,150,315.843497
31.476209,150,316.90132
47.650334,124,317.772325
52.408964,128,318.674453
49.655188,138,319.645513
35.329154,150,320.69864
45.755891,130,321.611087
23.943086,150,322.665392
31.940404,150,323.71757
48.095435,124,324.586553
33.918272,142,325.582797
25.023333,150,326.633571
31.054211,150,327.683982
24.322919,150,328.73681
27.261521,150,329.785753
28.441105,150,330.833907
24.636983,150,331.882084
48.423694,127,332.769167
54.949567,101,333.475812
26.629738,150,334.526978
37.618944,142,335.520082
52.299,116,336.330612
23.957439,150,337.380176
19.744167,150,338.427774
26.240202,150,339.474009
18.950439,150,340.518121
15.720869,150,341.558264
8.9764,150,342.59958
18.879025,150,343.64745
26.017229,150,344.694639
20.393388,150,345.738534
-4.599508,150,346.781746
49.661064,123,347.640376
47.397124,100,348.342482
10.699876,150,349.39459
44.817153,84,349.986064
43.688076,113,350.776798
19.753643,130,351.689137
22.575338,141,352.68196
42.701704,119,353.519104
51.726562,81,354.088629
42.818249,132,355.019753
37.389043,88,355.638521
23.079969,149,356.687046
48.623844,92,357.334149
46.164981,95,358.005896
48.233618,103,358.725839
38.256339,124,360.142765
-18.696955,150,361.193805
49.6888,87,361.80645
47.266005,99,362.502043
46.047674,114,363.302134
42.064051,89,363.927185
47.240441,108,364.687467
37.997705,104,365.416912
11.905134,150,366.46795
46.749216,73,366.980222
13.745337,150,368.032041
39.313172,130,368.945854
18.072442,150,369.998685
18.262106,150,371.051181
46.859786,102,371.769495
21.003202,150,372.822888
24.154197,150,373.876446
21.021638,150,374.93074
28.366116,144,375.94339
18.773467,150,376.993744
16.791154,136,377.947795
25.362244,150,378.998688
20.947813,150,380.055156
26.942084,150,381.111742
49.323508,115,381.921253
13.113531,150,382.976116
47.546698,117,383.801326
48.36897,101,384.513205
16.849757,150,385.568949
30.369425,150,386.62301
19.632287,150,387.677419
38.231377,112,388.467756
20.437593,150,389.521278
42.314606,143,390.522448
22.224864,150,391.577273
25.969931,150,392.63095
7.276123,150,393.687669
23.292097,150,394.742463
25.417455,150,395.799624
24.003494,150,396.853524
10.650438,150,397.905226
25.845788,150,398.961319
23.369323,150,400.01968
17.000328,150,401.071314
27.08991,150,402.123747
51.960336,116,402.937773
35.572114,150,403.992046
18.257916,150,405.045312
20.495222,150,406.099434
10.429287,150,407.152588
-7.925833,131,408.075885
16.511248,150,409.130883
40.799033,132,410.057974
5.098543,150,411.111338
15.363192,150,412.166648
13.092576,150,413.22133
11.904952,150,414.27321
16.09252,150,415.33047
14.491122,150,416.382987
10.656883,150,417.438853
15.780242,150,418.493881
53.062778,109,419.258366
34.76917,150,420.314367
42.401776,118,421.14392
46.349051,125,422.020187
52.55732,97,422.702249
29.791971,136,423.658667
48.590542,103,424.379457
48.373301,121,425.232675
50.531928,129,426.139106
37.361816,139,427.116087
25.246532,150,428.171825
51.482443,79,428.726029
47.915545,91,429.364339
39.906535,134,430.81676
47.465422,83,431.393102
44.256648,117,432.214709
35.023685,138,433.182953
49.526405,83,433.765436
20.450807,137,434.725596
37.353935,104,435.454794
50.223896,91,436.093526
50.792681,87,436.70665
40.336583,73,437.219869
50.730711,87,437.832071
41.839044,117,438.656487
37.716236,124,439.528105
27.660285,150,440.582681
23.053267,150,441.641134
49.129208,79,442.197953
51.29154,97,442.884808
49.46554,81,443.456033
50.779908,88,444.075421
51.322494,110,444.849912
53.379153,119,445.687274
52.100116,89,446.313462
52.8535,116,447.131298
34.65468,138,448.101594
42.875723,87,448.716981
48.793534,83,449.30092
51.195439,103,450.025014
48.393375,111,450.804895
46.658029,106,451.553198
49.272068,129,452.460329
56.677254,101,453.171825
53.119039,88,453.789723
52.661951,87,454.401809
47.103035,125,455.282532
41.616864,119,456.119594
51.441336,103,456.839818
55.58894,92,457.482378
48.814015,83,458.065441
46.930832,107,458.815639
45.20765,115,459.622379
47.725587,102,460.338329
47.330133,74,460.859516
53.823644,82,461.436457
47.057532,116,462.25067
23.429458,150,463.306004
50.377987,87,463.916782
52.67436,80,464.480561
50.550233,74,464.999671
50.447021,72,465.508144
49.12315,85,466.10767
50.888559,75,466.636994
49.422462,82,467.210909
49.526748,68,467.689896
49.313316,94,468.349745
48.528501,95,469.019813
48.656461,80,469.584356
48.706193,84,470.176047
49.250988,79,470.732755
52.961356,95,471.398326
51.694223,68,471.877479
50.79824,85,472.478511
45.191968,119,473.317254
52.692656,81,473.88667
54.251813,83,474.469311
53.903936,79,475.025035
47.647742,70,475.516995
58.899159,84,476.108324
50.443301,85,476.705213
51.853621,71,477.206382
41.16626,78,477.753238
52.23641,85,478.349585
52.498923,80,478.912037
54.737907,78,479.462629
47.959725,90,480.095638
53.20577,79,480.652607
50.355471,83,481.233669
54.491294,85,481.834552
51.240955,99,482.52912
50.347211,116,483.343599
50.129735,70,483.833788
55.001758,87,484.448694
55.05172,81,485.016385
53.281501,77,485.5575
52.80947,76,486.092927
47.643776,90,486.727487
54.47115,78,487.273888
52.461595,70,487.766085
53.959181,83,488.34698
54.306431,75,488.8766
50.538933,75,489.403453
54.079145,72,489.90878
50.350843,80,490.472052
52.953088,85,491.070555
52.145376,70,491.563802
51.826798,73,492.076556
54.839438,77,492.617783
52.427125,73,493.130725
53.737901,83,493.715736
54.151937,79,494.270977
53.263547,83,494.854065
46.689004,64,495.307179
52.016115,71,495.807167
55.352199,81,496.378302
54.181049,80,496.941249
49.463382,70,497.436335
56.847681,94,498.097327
55.20627,82,498.675131
54.027959,81,499.245898
53.062262,81,499.816938
49.652994,77,500.357171
51.935094,71,501.139381
50.605673,80,501.699328
56.441906,87,502.310154
51.587579,71,502.808092
51.103403,70,503.300485
56.76253,76,503.837708
54.98771,82,504.413203
54.688392,81,504.979935
55.903309,80,505.54442
55.508392,80,506.105222
52.252436,92,506.755251
53.455427,74,507.275412
49.846325,71,507.774235
54.211943,78,508.325895
53.556464,70,508.819263
51.709498,80,509.378116
52.914412,68,509.857179
51.21015,68,510.334649
55.230042,82,510.912629
54.7075,80,511.474417
55.26115,82,512.050228
51.523667,67,512.521434
54.201908,74,513.042668
54.080839,77,513.584764
57.295525,82,514.162946
55.999253,74,514.683789
51.81938,72,515.192938
55.082345,76,515.730713
53.339224,68,516.209542
54.715321,71,516.709721
53.324957,74,517.232486
54.372843,74,517.750641
55.697601,75,518.278744
58.052625,82,518.854748
54.902765,71,519.356761
54.97339,68,519.835734
52.57537,70,520.328859
54.229195,72,520.834937
55.737028,84,521.429798
56.018233,75,521.958842
56.028371,73,522.470528
55.260309,69,522.958701
54.85272,78,523.508728
53.533478,82,524.085715
55.878298,74,524.606685
53.478474,70,525.099761
55.183731,67,525.573834
55.030742,70,526.065185
57.202279,75,526.592031
58.080117,75,527.11812
51.268069,60,527.542088
54.660729,69,528.028015
51.706564,65,528.49246
53.152682,68,528.971523
49.910736,58,529.380446
54.17485,64,529.830368
53.528221,65,530.286293
54.718576,81,530.856543
55.056351,69,531.343121
54.071663,68,531.821321
55.418206,75,532.347028
52.902562,71,532.845472
57.805011,81,533.415969
55.333835,66,533.878374
49.933319,61,534.3065
51.200099,58,534.713426
52.39425,69,535.201765
49.08015,59,535.617435
52.856454,62,536.053102
52.625455,62,536.48942
57.482351,76,537.022639
53.391117,64,537.473569
56.0945,75,537.996686
51.143319,63,538.441916
56.703595,66,538.905744
55.228118,75,539.428277
55.569763,64,539.875526
52.050772,64,540.323468
54.56672,67,540.793489
60.947181,82,541.369663
